,_Rk,_Player,_Nation,_Pos,_Squad,_Age,_Born,_90s,_Att,PassTypes_Live,PassTypes_Dead,PassTypes_FK,PassTypes_TB,PassTypes_Sw,PassTypes_Crs,PassTypes_TI,PassTypes_CK,CornerKicks_In,CornerKicks_Out,CornerKicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Matches
43,44,Alessandro Bastoni,it ITA,DF,Inter,24.0,1999.0,25.2,1935.0,1787.0,139.0,58.0,1.0,29.0,76,71.0,0.0,0.0,0.0,0.0,1671.0,9.0,30.0,Matches
44,45,Simone Bastoni,it ITA,MFDF,Empoli,26.0,1996.0,8.3,360.0,281.0,76.0,17.0,2.0,2.0,36,41.0,16.0,4.0,9.0,0.0,246.0,3.0,12.0,Matches
45,46,Reda Belahyane,fr FRA,MF,Hellas Verona,19.0,2004.0,1.0,25.0,24.0,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,Matches
46,47,Raoul Bellanova,it ITA,DF,Torino,23.0,2000.0,33.8,1579.0,1285.0,288.0,14.0,0.0,4.0,178,274.0,0.0,0.0,0.0,0.0,1232.0,6.0,44.0,Matches
47,48,Andrea Belotti,it ITA,FW,Fiorentina,29.0,1993.0,10.5,201.0,181.0,20.0,1.0,1.0,0.0,4,0.0,0.0,0.0,0.0,0.0,133.0,0.0,6.0,Matches
48,49,Andrea Belotti,it ITA,FW,Roma,29.0,1993.0,7.5,155.0,141.0,13.0,0.0,1.0,0.0,4,2.0,0.0,0.0,0.0,0.0,115.0,1.0,10.0,Matches
49,50,Lucas Beltrán,ar ARG,FWMF,Fiorentina,22.0,2001.0,18.8,459.0,438.0,19.0,2.0,4.0,3.0,7,4.0,0.0,0.0,0.0,0.0,360.0,2.0,15.0,Matches
50,51,Ismaël Bennacer,dz ALG,MF,Milan,25.0,1997.0,12.8,818.0,772.0,43.0,21.0,7.0,3.0,32,5.0,17.0,4.0,8.0,0.0,711.0,3.0,11.0,Matches
51,52,Domenico Berardi,it ITA,FW,Sassuolo,28.0,1994.0,15.9,641.0,583.0,55.0,19.0,8.0,24.0,72,7.0,29.0,19.0,0.0,0.0,409.0,3.0,15.0,Matches
52,53,Bartosz Bereszyński,pl POL,DF,Empoli,31.0,1992.0,19.6,867.0,685.0,177.0,31.0,0.0,2.0,16,146.0,0.0,0.0,0.0,0.0,673.0,5.0,27.0,Matches
53,54,Etrit Berisha,al ALB,GK,Empoli,34.0,1989.0,14.0,494.0,356.0,134.0,44.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,339.0,4.0,0.0,Matches
54,55,Medon Berisha,al ALB,FWMF,Lecce,19.0,2003.0,2.3,98.0,91.0,7.0,3.0,0.0,2.0,3,0.0,3.0,2.0,1.0,0.0,84.0,0.0,1.0,Matches
55,56,Victor Bernth Kristiansen,dk DEN,DF,Bologna,20.0,2002.0,25.6,1688.0,1452.0,231.0,24.0,0.0,4.0,35,207.0,0.0,0.0,0.0,0.0,1422.0,5.0,22.0,Matches
56,57,Beto,gw GNB,FW,Udinese,25.0,1998.0,0.8,11.0,9.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,Matches
57,58,Davide Bettella,it ITA,MF,Monza,23.0,2000.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,Matches
58,59,Sam Beukema,nl NED,DF,Bologna,24.0,1998.0,28.3,2055.0,1971.0,81.0,47.0,1.0,12.0,2,18.0,0.0,0.0,0.0,0.0,1842.0,3.0,13.0,Matches
59,60,Jaka Bijol,si SVN,DF,Udinese,24.0,1999.0,23.2,822.0,790.0,29.0,22.0,1.0,5.0,1,2.0,0.0,0.0,0.0,0.0,645.0,3.0,4.0,Matches
60,61,El Bilal Touré,ml MLI,FW,Atalanta,21.0,2001.0,4.4,126.0,124.0,2.0,0.0,1.0,1.0,2,0.0,0.0,0.0,0.0,0.0,92.0,0.0,6.0,Matches
61,62,Cristiano Biraghi,it ITA,DF,Fiorentina,30.0,1992.0,26.2,1842.0,1329.0,510.0,103.0,0.0,14.0,226,298.0,109.0,28.0,53.0,0.0,1388.0,3.0,33.0,Matches
62,63,Davide Biraschi,it ITA,DF,Genoa,29.0,1994.0,1.0,37.0,28.0,9.0,2.0,0.0,0.0,0,7.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,Matches
63,64,Samuele Birindelli,it ITA,DF,Monza,24.0,1999.0,22.4,1104.0,939.0,160.0,11.0,1.0,14.0,54,148.0,1.0,0.0,0.0,0.0,902.0,5.0,31.0,Matches
64,65,Alexis Blin,fr FRA,MF,Lecce,26.0,1996.0,18.2,779.0,744.0,30.0,18.0,1.0,2.0,11,8.0,0.0,0.0,0.0,0.0,671.0,5.0,9.0,Matches
65,66,Jérôme Boateng,de GER,DF,Salernitana,34.0,1988.0,2.6,126.0,124.0,2.0,2.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,106.0,0.0,0.0,Matches
66,67,Emil Bohinen,no NOR,MF,Genoa,24.0,1999.0,0.6,34.0,33.0,1.0,1.0,0.0,1.0,2,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,Matches
67,68,Emil Bohinen,no NOR,MF,Salernitana,24.0,1999.0,5.9,333.0,321.0,12.0,11.0,0.0,1.0,2,0.0,0.0,0.0,0.0,0.0,262.0,0.0,16.0,Matches
68,69,Daniel Boloca,ro ROU,MF,Sassuolo,24.0,1998.0,22.5,1064.0,1048.0,15.0,13.0,1.0,3.0,8,0.0,0.0,0.0,0.0,0.0,956.0,1.0,15.0,Matches
69,70,Giacomo Bonaventura,it ITA,MF,Fiorentina,33.0,1989.0,25.3,1126.0,1078.0,46.0,13.0,15.0,5.0,54,6.0,5.0,1.0,3.0,0.0,928.0,2.0,27.0,Matches
70,71,Federico Bonazzoli,it ITA,FWMF,Hellas Verona,26.0,1997.0,11.3,314.0,294.0,17.0,0.0,3.0,5.0,7,1.0,0.0,0.0,0.0,0.0,242.0,3.0,11.0,Matches
71,72,Warren Bondo,fr FRA,MF,Monza,19.0,2003.0,16.4,621.0,602.0,16.0,6.0,0.0,3.0,2,3.0,1.0,0.0,0.0,0.0,557.0,3.0,11.0,Matches
72,73,Giovanni Bonfanti,it ITA,DF,Atalanta,20.0,2003.0,1.0,57.0,52.0,5.0,2.0,0.0,0.0,2,3.0,0.0,0.0,0.0,0.0,46.0,0.0,2.0,Matches
73,74,Kevin Bonifazi,it ITA,DF,Bologna,27.0,1996.0,1.0,82.0,80.0,2.0,2.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,1.0,Matches
74,75,Kevin Bonifazi,it ITA,DF,Frosinone,27.0,1996.0,3.4,145.0,133.0,12.0,8.0,0.0,1.0,0,4.0,0.0,0.0,0.0,0.0,123.0,0.0,4.0,Matches
75,76,Gennaro Borrelli,it ITA,FW,Frosinone,23.0,2000.0,0.3,1.0,1.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Matches
76,77,Erik Botheim,no NOR,FWMF,Salernitana,23.0,2000.0,3.5,65.0,61.0,4.0,0.0,0.0,1.0,1,0.0,0.0,0.0,0.0,0.0,48.0,0.0,1.0,Matches
77,78,Mehdi Bourabia,ma MAR,MF,Frosinone,31.0,1991.0,2.2,98.0,96.0,2.0,2.0,1.0,0.0,2,0.0,0.0,0.0,0.0,0.0,76.0,0.0,4.0,Matches
78,79,Edoardo Bove,it ITA,MF,Roma,21.0,2002.0,19.8,780.0,764.0,11.0,10.0,3.0,3.0,8,1.0,0.0,0.0,0.0,0.0,649.0,5.0,19.0,Matches
79,80,Domagoj Bradarić,hr CRO,DF,Salernitana,23.0,1999.0,30.5,1536.0,1248.0,286.0,33.0,2.0,10.0,81,243.0,9.0,3.0,6.0,0.0,1184.0,2.0,41.0,Matches
80,81,Josip Brekalo,hr CRO,FW,Fiorentina,25.0,1998.0,7.2,291.0,278.0,11.0,4.0,0.0,0.0,24,1.0,6.0,0.0,5.0,0.0,234.0,2.0,8.0,Matches
81,82,Gleison Bremer,br BRA,DF,Juventus,26.0,1997.0,35.9,1930.0,1854.0,71.0,25.0,0.0,8.0,1,2.0,0.0,0.0,0.0,0.0,1661.0,5.0,14.0,Matches
82,83,Brenner,br BRA,MFFW,Udinese,23.0,2000.0,2.1,54.0,52.0,2.0,1.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,Matches
83,84,Marco Brescianini,it ITA,MF,Frosinone,23.0,2000.0,25.8,804.0,761.0,40.0,7.0,5.0,0.0,20,29.0,0.0,0.0,0.0,0.0,632.0,3.0,21.0,Matches
84,85,Dylan Bronn,tn TUN,DFMF,Salernitana,28.0,1995.0,0.6,12.0,12.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,Matches
85,86,Tajon Buchanan,ca CAN,DF,Inter,24.0,1999.0,1.8,72.0,70.0,2.0,0.0,0.0,0.0,11,2.0,0.0,0.0,0.0,0.0,58.0,0.0,3.0,Matches
86,87,Alessandro Buongiorno,it ITA,DF,Torino,24.0,1999.0,28.1,1187.0,1162.0,25.0,21.0,1.0,2.0,3,3.0,0.0,0.0,0.0,0.0,1012.0,0.0,7.0,Matches
87,88,Rareș-Cătălin Burnete,ro ROU,FW,Lecce,19.0,2004.0,0.1,1.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Matches
88,89,Jovane Cabral,cv CPV,MFFW,Salernitana,25.0,1998.0,7.5,245.0,227.0,16.0,4.0,1.0,7.0,14,5.0,1.0,1.0,0.0,0.0,185.0,2.0,6.0,Matches
89,90,Liberato Cacace,nz NZL,DF,Empoli,22.0,2000.0,21.2,1110.0,848.0,256.0,27.0,2.0,3.0,68,205.0,24.0,2.0,18.0,0.0,832.0,6.0,26.0,Matches
90,91,Jens Cajuste,se SWE,MF,Napoli,23.0,1999.0,11.3,435.0,425.0,8.0,1.0,1.0,1.0,6,7.0,0.0,0.0,0.0,0.0,369.0,2.0,9.0,Matches
91,92,Davide Calabria,it ITA,DF,Milan,26.0,1996.0,24.3,1541.0,1292.0,245.0,43.0,1.0,5.0,36,202.0,0.0,0.0,0.0,0.0,1320.0,4.0,13.0,Matches
92,93,Riccardo Calafiori,it ITA,DF,Bologna,21.0,2002.0,26.1,1810.0,1720.0,89.0,38.0,2.0,16.0,9,17.0,0.0,0.0,0.0,0.0,1622.0,1.0,20.0,Matches
93,94,Mattia Caldara,it ITA,DF,Milan,29.0,1994.0,0.4,24.0,24.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,Matches
94,95,Luca Caldirola,it ITA,DF,Monza,32.0,1991.0,23.8,1374.0,1294.0,78.0,43.0,0.0,7.0,4,12.0,0.0,0.0,0.0,0.0,1247.0,2.0,10.0,Matches
95,96,Hakan Çalhanoğlu,tr TUR,MF,Inter,29.0,1994.0,28.4,2316.0,2097.0,210.0,92.0,4.0,35.0,153,4.0,113.0,52.0,47.0,0.0,2045.0,9.0,18.0,Matches
96,97,Francesco Camarda,it ITA,FW,Milan,15.0,2008.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
97,98,Nicolò Cambiaghi,it ITA,FWMF,Empoli,22.0,2000.0,28.4,694.0,659.0,31.0,1.0,2.0,1.0,131,5.0,24.0,4.0,9.0,0.0,483.0,4.0,36.0,Matches
98,99,Andrea Cambiaso,it ITA,DFFW,Juventus,23.0,2000.0,26.4,1207.0,1096.0,105.0,16.0,2.0,10.0,81,70.0,18.0,4.0,5.0,0.0,1007.0,6.0,38.0,Matches
99,100,Matteo Cancellieri,it ITA,FWMF,Empoli,21.0,2002.0,19.9,379.0,366.0,8.0,2.0,0.0,1.0,42,4.0,2.0,0.0,1.0,0.0,222.0,5.0,13.0,Matches
100,101,Antonio Candreva,it ITA,MFFW,Salernitana,36.0,1987.0,30.6,1407.0,1164.0,240.0,74.0,4.0,32.0,223,40.0,88.0,11.0,44.0,0.0,1019.0,3.0,41.0,Matches
101,102,Luigi Canotto,it ITA,FW,Frosinone,29.0,1994.0,0.2,3.0,2.0,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,Matches
102,103,Gianluca Caprari,it ITA,MFFW,Monza,30.0,1993.0,3.2,124.0,114.0,9.0,1.0,0.0,0.0,8,2.0,5.0,1.0,3.0,0.0,98.0,1.0,7.0,Matches
103,104,Elia Caprile,it ITA,GK,Empoli,21.0,2001.0,23.0,820.0,590.0,226.0,67.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,555.0,4.0,0.0,Matches
104,105,Francesco Caputo,it ITA,FW,Empoli,35.0,1987.0,14.1,216.0,192.0,24.0,0.0,1.0,1.0,1,2.0,0.0,0.0,0.0,0.0,164.0,0.0,8.0,Matches
105,106,Andrea Carboni,it ITA,DF,Monza,22.0,2001.0,16.5,976.0,925.0,51.0,16.0,0.0,10.0,21,34.0,0.0,0.0,0.0,0.0,833.0,0.0,13.0,Matches
106,107,Valentin Carboni,ar ARG,MFFW,Monza,18.0,2005.0,13.0,523.0,507.0,16.0,3.0,4.0,4.0,14,2.0,6.0,2.0,2.0,0.0,436.0,0.0,20.0,Matches
107,108,Marco Carnesecchi,it ITA,GK,Atalanta,23.0,2000.0,26.9,879.0,635.0,238.0,45.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,619.0,6.0,1.0,Matches
108,109,Nicolò Casale,it ITA,DF,Lazio,25.0,1998.0,17.3,1024.0,989.0,35.0,25.0,0.0,2.0,0,2.0,0.0,0.0,0.0,0.0,940.0,0.0,8.0,Matches
109,110,Giuseppe Caso,it ITA,FWMF,Frosinone,24.0,1998.0,4.6,112.0,106.0,6.0,0.0,1.0,0.0,2,1.0,5.0,0.0,0.0,0.0,95.0,0.0,2.0,Matches
110,111,Valentín Castellanos,ar ARG,FW,Lazio,24.0,1998.0,18.7,452.0,417.0,33.0,0.0,0.0,1.0,15,0.0,0.0,0.0,0.0,0.0,272.0,2.0,13.0,Matches
111,112,Samu Castillejo,es ESP,FWMF,Sassuolo,28.0,1995.0,6.0,283.0,253.0,29.0,13.0,0.0,2.0,34,3.0,13.0,7.0,3.0,0.0,213.0,1.0,4.0,Matches
112,113,Santiago Castro,ar ARG,FW,Bologna,18.0,2004.0,2.7,52.0,47.0,5.0,0.0,0.0,1.0,1,1.0,0.0,0.0,0.0,0.0,43.0,0.0,1.0,Matches
113,114,Gaetano Castrovilli,it ITA,FWMF,Fiorentina,26.0,1997.0,4.1,116.0,112.0,3.0,1.0,0.0,2.0,9,2.0,0.0,0.0,0.0,0.0,75.0,1.0,7.0,Matches
114,115,Danilo Cataldi,it ITA,MF,Lazio,28.0,1994.0,15.1,932.0,882.0,48.0,23.0,3.0,3.0,31,5.0,20.0,4.0,13.0,0.0,800.0,2.0,8.0,Matches
115,116,Emil Ceide,no NOR,FWMF,Sassuolo,21.0,2001.0,2.0,59.0,59.0,0.0,0.0,1.0,0.0,5,0.0,0.0,0.0,0.0,0.0,40.0,0.0,5.0,Matches
116,117,Zeki Çelik,tr TUR,DF,Roma,26.0,1997.0,7.5,341.0,280.0,61.0,5.0,1.0,3.0,20,56.0,0.0,0.0,0.0,0.0,284.0,0.0,3.0,Matches
117,118,Fabien Centonze,fr FRA,DF,Hellas Verona,27.0,1996.0,7.5,317.0,238.0,77.0,0.0,0.0,0.0,28,77.0,0.0,0.0,0.0,0.0,213.0,2.0,10.0,Matches
118,119,Michele Cerofolini,it ITA,GK,Frosinone,24.0,1999.0,7.5,209.0,148.0,61.0,23.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,124.0,0.0,0.0,Matches
119,120,Alberto Cerri,it ITA,FW,Empoli,27.0,1996.0,6.1,136.0,134.0,1.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,68.0,1.0,5.0,Matches
120,121,Leonardo Cerri,it ITA,DF,Juventus,20.0,2003.0,0.1,2.0,2.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
