,_Rk,_Player,_Nation,_Pos,_Squad,_Age,_Born,_90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,_Ast,_xAG,Expected_xA,Expected_A-xAG,_KP,_1/3,_PPA,_CrsPA,_PrgP,Matches
49,50,Lucas Beltrán,ar ARG,FWMF,Fiorentina,22.0,2001.0,18.8,360.0,459.0,78.4,5213.0,1095.0,201.0,246.0,81.7,118.0,137.0,86.1,21.0,28.0,75.0,2,1.5,1.9,0.5,25.0,25.0,19.0,0.0,49.0,Matches
50,51,Ismaël Bennacer,dz ALG,MF,Milan,25.0,1997.0,12.8,711.0,818.0,86.9,10751.0,2872.0,388.0,414.0,93.7,251.0,286.0,87.8,41.0,68.0,60.3,2,2.5,1.6,-0.5,17.0,66.0,11.0,3.0,68.0,Matches
51,52,Domenico Berardi,it ITA,FW,Sassuolo,28.0,1994.0,15.9,409.0,641.0,63.8,8116.0,2265.0,185.0,241.0,76.8,140.0,204.0,68.6,73.0,140.0,52.1,3,3.0,2.5,0.0,27.0,48.0,29.0,6.0,83.0,Matches
52,53,Bartosz Bereszyński,pl POL,DF,Empoli,31.0,1992.0,19.6,673.0,867.0,77.6,11383.0,5041.0,352.0,394.0,89.3,255.0,322.0,79.2,56.0,106.0,52.8,1,0.3,0.4,0.7,8.0,60.0,7.0,3.0,69.0,Matches
53,54,Etrit Berisha,al ALB,GK,Empoli,34.0,1989.0,14.0,339.0,494.0,68.6,8491.0,5766.0,73.0,73.0,100.0,184.0,188.0,97.9,81.0,228.0,35.5,0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,Matches
54,55,Medon Berisha,al ALB,FWMF,Lecce,19.0,2003.0,2.3,84.0,98.0,85.7,1578.0,419.0,34.0,36.0,94.4,36.0,43.0,83.7,10.0,14.0,71.4,0,0.2,0.2,-0.2,5.0,7.0,2.0,0.0,7.0,Matches
55,56,Victor Bernth Kristiansen,dk DEN,DF,Bologna,20.0,2002.0,25.6,1422.0,1688.0,84.2,21913.0,8191.0,776.0,838.0,92.6,548.0,643.0,85.2,60.0,130.0,46.2,3,2.4,1.3,0.6,23.0,111.0,22.0,7.0,123.0,Matches
56,57,Beto,gw GNB,FW,Udinese,25.0,1998.0,0.8,10.0,11.0,90.9,128.0,26.0,7.0,8.0,87.5,3.0,3.0,100.0,0.0,0.0,,0,0.3,0.0,-0.3,6.0,1.0,0.0,0.0,2.0,Matches
57,58,Davide Bettella,it ITA,MF,Monza,23.0,2000.0,0.0,3.0,5.0,60.0,55.0,0.0,1.0,1.0,100.0,2.0,3.0,66.7,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
58,59,Sam Beukema,nl NED,DF,Bologna,24.0,1998.0,28.3,1842.0,2055.0,89.6,34323.0,11648.0,683.0,727.0,93.9,975.0,1036.0,94.1,157.0,238.0,66.0,1,0.8,0.7,0.2,7.0,87.0,5.0,0.0,76.0,Matches
59,60,Jaka Bijol,si SVN,DF,Udinese,24.0,1999.0,23.2,645.0,822.0,78.5,13456.0,5996.0,198.0,231.0,85.7,342.0,396.0,86.4,99.0,176.0,56.3,0,0.2,0.5,-0.2,3.0,40.0,2.0,0.0,42.0,Matches
60,61,El Bilal Touré,ml MLI,FW,Atalanta,21.0,2001.0,4.4,92.0,126.0,73.0,1229.0,181.0,58.0,75.0,77.3,25.0,29.0,86.2,2.0,4.0,50.0,0,0.8,0.6,-0.8,7.0,2.0,5.0,0.0,11.0,Matches
61,62,Cristiano Biraghi,it ITA,DF,Fiorentina,30.0,1992.0,26.2,1388.0,1842.0,75.4,25646.0,9082.0,573.0,624.0,91.8,639.0,813.0,78.6,156.0,340.0,45.9,5,3.6,4.3,1.4,46.0,118.0,31.0,20.0,129.0,Matches
62,63,Davide Biraschi,it ITA,DF,Genoa,29.0,1994.0,1.0,31.0,37.0,83.8,684.0,308.0,6.0,7.0,85.7,18.0,21.0,85.7,7.0,9.0,77.8,0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,5.0,Matches
63,64,Samuele Birindelli,it ITA,DF,Monza,24.0,1999.0,22.4,902.0,1104.0,81.7,15543.0,4505.0,427.0,466.0,91.6,382.0,446.0,85.7,81.0,138.0,58.7,2,2.9,2.4,-0.9,24.0,59.0,25.0,14.0,70.0,Matches
64,65,Alexis Blin,fr FRA,MF,Lecce,26.0,1996.0,18.2,671.0,779.0,86.1,11579.0,3436.0,290.0,319.0,90.9,304.0,334.0,91.0,59.0,84.0,70.2,2,0.7,0.7,1.3,7.0,51.0,7.0,2.0,60.0,Matches
65,66,Jérôme Boateng,de GER,DF,Salernitana,34.0,1988.0,2.6,106.0,126.0,84.1,2322.0,890.0,23.0,28.0,82.1,64.0,66.0,97.0,18.0,30.0,60.0,0,0.1,0.1,-0.1,1.0,10.0,2.0,0.0,9.0,Matches
66,67,Emil Bohinen,no NOR,MF,Genoa,24.0,1999.0,0.6,26.0,34.0,76.5,395.0,157.0,13.0,15.0,86.7,7.0,10.0,70.0,2.0,4.0,50.0,0,0.1,0.1,-0.1,2.0,4.0,2.0,1.0,3.0,Matches
67,68,Emil Bohinen,no NOR,MF,Salernitana,24.0,1999.0,5.9,262.0,333.0,78.7,4069.0,1031.0,130.0,153.0,85.0,103.0,121.0,85.1,16.0,24.0,66.7,0,0.2,0.1,-0.2,5.0,18.0,2.0,0.0,26.0,Matches
68,69,Daniel Boloca,ro ROU,MF,Sassuolo,24.0,1998.0,22.5,956.0,1064.0,89.8,17430.0,4310.0,369.0,404.0,91.3,477.0,497.0,96.0,89.0,117.0,76.1,0,0.4,0.5,-0.4,14.0,97.0,5.0,1.0,109.0,Matches
69,70,Giacomo Bonaventura,it ITA,MF,Fiorentina,33.0,1989.0,25.3,928.0,1126.0,82.4,15645.0,3647.0,444.0,497.0,89.3,354.0,409.0,86.6,92.0,143.0,64.3,3,3.6,5.4,-0.6,41.0,81.0,45.0,11.0,140.0,Matches
70,71,Federico Bonazzoli,it ITA,FWMF,Hellas Verona,26.0,1997.0,11.3,242.0,314.0,77.1,4025.0,534.0,132.0,161.0,82.0,71.0,87.0,81.6,30.0,34.0,88.2,1,1.1,0.5,-0.1,8.0,21.0,7.0,0.0,26.0,Matches
71,72,Warren Bondo,fr FRA,MF,Monza,19.0,2003.0,16.4,557.0,621.0,89.7,9504.0,1586.0,239.0,253.0,94.5,271.0,295.0,91.9,34.0,39.0,87.2,1,0.3,0.2,0.7,7.0,40.0,2.0,1.0,43.0,Matches
72,73,Giovanni Bonfanti,it ITA,DF,Atalanta,20.0,2003.0,1.0,46.0,57.0,80.7,797.0,245.0,17.0,19.0,89.5,25.0,28.0,89.3,3.0,6.0,50.0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,Matches
73,74,Kevin Bonifazi,it ITA,DF,Bologna,27.0,1996.0,1.0,72.0,82.0,87.8,1259.0,518.0,36.0,37.0,97.3,28.0,31.0,90.3,7.0,11.0,63.6,0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,Matches
74,75,Kevin Bonifazi,it ITA,DF,Frosinone,27.0,1996.0,3.4,123.0,145.0,84.8,2029.0,731.0,60.0,64.0,93.8,57.0,60.0,95.0,5.0,14.0,35.7,0,0.1,0.0,-0.1,1.0,12.0,1.0,0.0,7.0,Matches
75,76,Gennaro Borrelli,it ITA,FW,Frosinone,23.0,2000.0,0.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
76,77,Erik Botheim,no NOR,FWMF,Salernitana,23.0,2000.0,3.5,48.0,65.0,73.8,653.0,76.0,32.0,41.0,78.0,12.0,14.0,85.7,1.0,2.0,50.0,0,0.0,0.1,0.0,0.0,2.0,1.0,0.0,5.0,Matches
77,78,Mehdi Bourabia,ma MAR,MF,Frosinone,31.0,1991.0,2.2,76.0,98.0,77.6,914.0,218.0,52.0,61.0,85.2,15.0,19.0,78.9,2.0,7.0,28.6,0,0.0,0.0,0.0,1.0,5.0,1.0,1.0,7.0,Matches
78,79,Edoardo Bove,it ITA,MF,Roma,21.0,2002.0,19.8,649.0,780.0,83.2,9698.0,2639.0,378.0,423.0,89.4,225.0,258.0,87.2,31.0,48.0,64.6,2,0.7,1.2,1.3,16.0,59.0,19.0,1.0,88.0,Matches
79,80,Domagoj Bradarić,hr CRO,DF,Salernitana,23.0,1999.0,30.5,1184.0,1536.0,77.1,18474.0,5884.0,637.0,707.0,90.1,421.0,542.0,77.7,78.0,185.0,42.2,3,1.8,1.6,1.2,36.0,54.0,18.0,11.0,76.0,Matches
80,81,Josip Brekalo,hr CRO,FW,Fiorentina,25.0,1998.0,7.2,234.0,291.0,80.4,3917.0,819.0,115.0,129.0,89.1,81.0,99.0,81.8,28.0,38.0,73.7,0,0.3,0.7,-0.3,6.0,16.0,11.0,3.0,25.0,Matches
81,82,Gleison Bremer,br BRA,DF,Juventus,26.0,1997.0,35.9,1661.0,1930.0,86.1,34805.0,12857.0,419.0,478.0,87.7,973.0,1051.0,92.6,251.0,352.0,71.3,0,0.4,0.8,-0.4,7.0,111.0,0.0,0.0,120.0,Matches
82,83,Brenner,br BRA,MFFW,Udinese,23.0,2000.0,2.1,47.0,54.0,87.0,846.0,186.0,23.0,23.0,100.0,19.0,21.0,90.5,4.0,6.0,66.7,0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,8.0,Matches
83,84,Marco Brescianini,it ITA,MF,Frosinone,23.0,2000.0,25.8,632.0,804.0,78.6,8979.0,2644.0,371.0,430.0,86.3,201.0,245.0,82.0,27.0,56.0,48.2,2,1.6,1.9,0.4,22.0,50.0,15.0,4.0,70.0,Matches
84,85,Dylan Bronn,tn TUN,DFMF,Salernitana,28.0,1995.0,0.6,8.0,12.0,66.7,116.0,60.0,5.0,6.0,83.3,3.0,4.0,75.0,0.0,2.0,0.0,0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,Matches
85,86,Tajon Buchanan,ca CAN,DF,Inter,24.0,1999.0,1.8,58.0,72.0,80.6,787.0,103.0,36.0,39.0,92.3,16.0,21.0,76.2,3.0,6.0,50.0,0,0.3,0.1,-0.3,2.0,1.0,1.0,1.0,4.0,Matches
86,87,Alessandro Buongiorno,it ITA,DF,Torino,24.0,1999.0,28.1,1012.0,1187.0,85.3,17567.0,5255.0,395.0,455.0,86.8,553.0,609.0,90.8,50.0,87.0,57.5,0,0.1,0.4,-0.1,4.0,28.0,4.0,1.0,62.0,Matches
87,88,Rareș-Cătălin Burnete,ro ROU,FW,Lecce,19.0,2004.0,0.1,1.0,1.0,100.0,8.0,0.0,1.0,1.0,100.0,0.0,0.0,,0.0,0.0,,1,0.1,0.0,0.9,1.0,0.0,0.0,0.0,0.0,Matches
88,89,Jovane Cabral,cv CPV,MFFW,Salernitana,25.0,1998.0,7.5,185.0,245.0,75.5,3216.0,1015.0,86.0,100.0,86.0,66.0,86.0,76.7,23.0,37.0,62.2,0,0.4,0.6,-0.4,10.0,22.0,12.0,3.0,40.0,Matches
89,90,Liberato Cacace,nz NZL,DF,Empoli,22.0,2000.0,21.2,832.0,1110.0,75.0,14084.0,5589.0,427.0,475.0,89.9,321.0,403.0,79.7,75.0,186.0,40.3,1,1.7,1.4,-0.7,21.0,67.0,13.0,5.0,84.0,Matches
90,91,Jens Cajuste,se SWE,MF,Napoli,23.0,1999.0,11.3,369.0,435.0,84.8,5697.0,1065.0,198.0,218.0,90.8,144.0,171.0,84.2,19.0,22.0,86.4,2,1.1,0.7,0.9,15.0,35.0,10.0,1.0,37.0,Matches
91,92,Davide Calabria,it ITA,DF,Milan,26.0,1996.0,24.3,1320.0,1541.0,85.7,22285.0,6489.0,601.0,661.0,90.9,612.0,690.0,88.7,89.0,151.0,58.9,3,1.2,1.6,1.8,12.0,104.0,23.0,12.0,140.0,Matches
92,93,Riccardo Calafiori,it ITA,DF,Bologna,21.0,2002.0,26.1,1622.0,1810.0,89.6,28565.0,8660.0,684.0,737.0,92.8,792.0,844.0,93.8,123.0,172.0,71.5,5,1.2,0.9,3.8,17.0,94.0,10.0,3.0,96.0,Matches
93,94,Mattia Caldara,it ITA,DF,Milan,29.0,1994.0,0.4,20.0,24.0,83.3,345.0,117.0,7.0,8.0,87.5,12.0,12.0,100.0,0.0,3.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,Matches
94,95,Luca Caldirola,it ITA,DF,Monza,32.0,1991.0,23.8,1247.0,1374.0,90.8,23794.0,7803.0,453.0,464.0,97.6,656.0,695.0,94.4,131.0,192.0,68.2,1,0.6,0.2,0.4,5.0,60.0,1.0,1.0,56.0,Matches
95,96,Hakan Çalhanoğlu,tr TUR,MF,Inter,29.0,1994.0,28.4,2045.0,2316.0,88.3,37372.0,11241.0,885.0,934.0,94.8,853.0,933.0,91.4,258.0,364.0,70.9,3,4.7,5.8,-1.7,52.0,194.0,39.0,12.0,186.0,Matches
