,_Rk,_Player,_Nation,_Pos,_Squad,_Age,_Born,_90s,SCA_SCA,SCA_SCA90,SCATypes_PassLive,SCATypes_PassDead,SCATypes_TO,SCATypes_Sh,SCATypes_Fld,SCATypes_Def,GCA_GCA,GCA_GCA90,GCATypes_PassLive,GCATypes_PassDead,GCATypes_TO,GCATypes_Sh,GCATypes_Fld,GCATypes_Def,Matches
243,244,Sergio Herrera,es ESP,GK,Osasuna,30.0,1993.0,31.9,6,0.19,4,2,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
244,245,Yangel Herrera,ve VEN,MF,Girona,25.0,1998.0,23.4,48,2.05,37,0,1,3,7,0,4,0.17,3,0,0,0,1,0,Matches
245,246,Juan Herzog,es ESP,DF,Las Palmas,20.0,2003.0,3.2,1,0.31,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
246,247,Martin Hongla,cm CMR,MFDF,Granada,25.0,1998.0,6.2,3,0.48,2,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
247,248,Xabier Huarte Armendáriz,es ESP,MF,Osasuna,22.0,2001.0,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
248,249,Pablo Ibáñez,es ESP,MF,Osasuna,24.0,1998.0,12.8,30,2.35,19,1,1,3,5,1,4,0.31,2,0,1,0,1,0,Matches
249,250,Iglesias,es ESP,DFFW,Getafe,25.0,1998.0,15.7,27,1.72,18,5,1,1,1,1,2,0.13,2,0,0,0,0,0,Matches
250,251,Borja Iglesias,es ESP,FW,Betis,30.0,1993.0,4.5,20,4.42,17,0,0,3,0,0,1,0.22,1,0,0,0,0,0,Matches
251,252,Imanol,es ESP,DF,Athletic Club,23.0,2000.0,5.8,4,0.69,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
252,253,Isco,es ESP,MF,Betis,31.0,1992.0,25.8,156,6.03,95,39,8,10,3,1,14,0.54,10,1,1,2,0,0,Matches
253,254,Diego Iturralde,es ESP,DF,Sevilla,20.0,2003.0,0.4,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
254,255,Adnan Januzaj,be BEL,FWMF,Sevilla,28.0,1995.0,2.1,6,2.8,2,2,1,0,1,0,0,0.0,0,0,0,0,0,0,Matches
255,256,Mikel Jauregizar,es ESP,MF,Athletic Club,19.0,2003.0,1.7,5,2.98,4,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
256,257,Luis Javier Suárez,co COL,FW,Almería,25.0,1997.0,10.2,27,2.66,14,0,5,5,3,0,3,0.3,1,0,2,0,0,0,Matches
257,258,Salim El Jebari,ma MAR,MF,Atlético Madrid,19.0,2004.0,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
258,259,Frenkie de Jong,nl NED,MF,Barcelona,26.0,1997.0,18.2,60,3.3,55,2,0,1,2,0,9,0.5,9,0,0,0,0,0,Matches
259,260,Joan Jordán,es ESP,MF,Sevilla,29.0,1994.0,4.2,11,2.61,7,1,1,1,1,0,0,0.0,0,0,0,0,0,0,Matches
260,261,Jordi,es ESP,MFDF,Getafe,22.0,2001.0,6.4,11,1.72,8,0,1,2,0,0,2,0.31,1,0,0,1,0,0,Matches
261,262,Jeremy Jorge,es ESP,FW,Getafe,20.0,2003.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
262,263,Willian José,br BRA,FW,Betis,31.0,1991.0,21.9,42,1.92,37,0,1,3,0,1,7,0.32,6,0,0,0,0,1,Matches
263,264,Joselu,es ESP,FW,Real Madrid,33.0,1990.0,18.7,31,1.65,23,0,1,7,0,0,5,0.27,3,0,0,2,0,0,Matches
264,265,Kamil Jóźwiak,pl POL,MF,Granada,25.0,1998.0,6.3,19,3.0,14,0,1,1,2,1,2,0.32,1,0,0,1,0,0,Matches
265,266,Juanmi,es ESP,FW,Cádiz,30.0,1993.0,9.7,20,2.06,16,0,2,1,1,0,1,0.1,1,0,0,0,0,0,Matches
266,267,Juanpe,es ESP,DF,Girona,32.0,1991.0,8.3,2,0.24,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
267,268,Vinicius Júnior,br BRA,FW,Real Madrid,23.0,2000.0,20.7,79,3.81,43,1,19,8,6,2,10,0.48,5,0,1,3,0,1,Matches
268,269,Filip Jørgensen,dk DEN,GK,Villarreal,21.0,2002.0,36.0,2,0.06,1,1,0,0,0,0,1,0.03,1,0,0,0,0,0,Matches
269,270,Sory Kaba,gn GUI,FW,Las Palmas,28.0,1995.0,8.0,14,1.75,12,0,1,1,0,0,1,0.12,1,0,0,0,0,0,Matches
270,271,Kaiky,br BRA,DF,Almería,19.0,2004.0,5.8,3,0.52,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
271,272,Jon Karrikaburu,es ESP,MFFW,Alavés,20.0,2002.0,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
272,273,Ibrahima Kebe,ml MLI,MF,Girona,22.0,2000.0,0.1,1,10.0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
273,274,Kiké,es ESP,FWMF,Alavés,33.0,1989.0,15.8,40,2.53,26,0,5,4,5,0,6,0.38,3,0,2,0,1,0,Matches
274,275,Koke,es ESP,MF,Atlético Madrid,31.0,1992.0,27.7,57,2.06,52,3,0,1,0,1,11,0.4,11,0,0,0,0,0,Matches
275,276,Ibrahima Koné,ml MLI,FW,Almería,24.0,1999.0,3.1,5,1.61,5,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
276,277,Rominigue Kouamé,ml MLI,MF,Cádiz,26.0,1996.0,9.1,14,1.54,12,0,0,2,0,0,0,0.0,0,0,0,0,0,0,Matches
277,278,Jules Koundé,fr FRA,DF,Barcelona,24.0,1998.0,32.2,62,1.92,55,2,0,4,1,0,9,0.28,9,0,0,0,0,0,Matches
278,279,Toni Kroos,de GER,MF,Real Madrid,33.0,1990.0,23.6,100,4.24,61,34,0,4,1,0,11,0.47,6,5,0,0,0,0,Matches
279,280,Takefusa Kubo,jp JPN,FWMF,Real Sociedad,22.0,2001.0,23.9,110,4.61,66,23,10,5,6,0,7,0.29,4,2,1,0,0,0,Matches
280,281,Luca de la Torre,us USA,MF,Celta Vigo,25.0,1998.0,21.7,43,1.98,37,0,2,2,2,0,5,0.23,5,0,0,0,0,0,Matches
281,282,Yoel Lago,es ESP,DF,Celta Vigo,19.0,2004.0,1.0,2,2.0,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
282,283,Érik Lamela,ar ARG,FWMF,Sevilla,31.0,1992.0,5.1,20,3.89,17,0,1,0,1,1,2,0.39,2,0,0,0,0,0,Matches
283,284,Bruno Langa,mz MOZ,DF,Almería,25.0,1997.0,9.1,17,1.87,11,2,1,1,1,1,1,0.11,0,0,0,0,0,1,Matches
284,285,Cyle Larin,ca CAN,FW,Mallorca,28.0,1995.0,20.3,26,1.29,16,0,2,5,3,0,4,0.2,1,0,0,1,2,0,Matches
285,286,Juanmi Latasa,es ESP,FW,Getafe,22.0,2001.0,17.3,33,1.91,23,0,0,6,4,0,1,0.06,0,0,0,0,1,0,Matches
286,287,Toni Lato,es ESP,DF,Mallorca,25.0,1997.0,17.2,30,1.75,22,2,1,1,3,1,1,0.06,1,0,0,0,0,0,Matches
287,288,Lázaro,br BRA,FWMF,Almería,21.0,2002.0,3.2,12,3.8,7,2,0,2,1,0,1,0.32,0,0,0,1,0,0,Matches
288,289,Robin Le Normand,es ESP,DF,Real Sociedad,26.0,1996.0,27.4,17,0.62,15,0,0,1,1,0,1,0.04,1,0,0,0,0,0,Matches
289,290,Jeremías Ledesma,ar ARG,GK,Cádiz,30.0,1993.0,33.9,7,0.21,3,4,0,0,0,0,2,0.06,1,1,0,0,0,0,Matches
290,291,Florian Lejeune,fr FRA,DF,Rayo Vallecano,32.0,1991.0,37.0,44,1.19,31,3,0,8,2,0,3,0.08,2,0,0,1,0,0,Matches
291,292,Stefan Lekovic,rs SRB,DF,Villarreal,19.0,2004.0,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
292,293,Iñigo Lekue,es ESP,DF,Athletic Club,30.0,1993.0,22.2,35,1.57,29,4,1,1,0,0,7,0.31,7,0,0,0,0,0,Matches
293,294,Thomas Lemar,fr FRA,MF,Atlético Madrid,27.0,1995.0,1.8,3,1.66,2,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
294,295,Álvaro Lemos,es ESP,DF,Las Palmas,30.0,1993.0,2.8,1,0.36,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
295,296,Ruben Lendinez,es ESP,DF,Valencia,20.0,2003.0,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
296,297,Robert Lewandowski,pl POL,FW,Barcelona,34.0,1988.0,30.6,63,2.06,42,1,4,10,6,0,12,0.39,10,0,0,0,2,0,Matches
297,298,Samuel Lino,br BRA,DFMF,Atlético Madrid,23.0,1999.0,23.1,77,3.33,54,1,7,4,9,2,12,0.52,9,0,1,1,1,0,Matches
298,299,Javier Llabrés,es ESP,MFFW,Mallorca,20.0,2002.0,2.7,7,2.55,2,4,1,0,0,0,0,0.0,0,0,0,0,0,0,Matches
299,300,Marcos Llorente,es ESP,MFDF,Atlético Madrid,28.0,1995.0,28.5,48,1.68,40,0,3,2,3,0,8,0.28,7,0,0,1,0,0,Matches
300,301,Enzo Loiodice,fr FRA,MF,Las Palmas,22.0,2000.0,19.9,41,2.06,34,4,1,0,2,0,2,0.1,1,1,0,0,0,0,Matches
301,302,David López,es ESP,DF,Girona,33.0,1989.0,21.8,13,0.6,8,1,1,3,0,0,1,0.05,1,0,0,0,0,0,Matches
302,303,Diego López,es ESP,MFFW,Valencia,21.0,2002.0,29.5,79,2.68,65,0,5,2,3,4,11,0.37,9,0,1,1,0,0,Matches
303,304,Fermin López,es ESP,MFFW,Barcelona,20.0,2003.0,16.1,42,2.61,33,0,5,4,0,0,0,0.0,0,0,0,0,0,0,Matches
304,305,Javi López,es ESP,DF,Alavés,21.0,2002.0,26.5,51,1.92,39,2,4,2,4,0,8,0.3,6,0,1,0,1,0,Matches
