,_Rk,_Player,_Nation,_Pos,_Squad,_Age,_Born,_90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,_Int,_Tkl+Int,_Clr,_Err,Matches
117,118,Thibaut Courtois,be BEL,GK,Real Madrid,31.0,1992.0,3.7,1,0,1,0,0,0,0,,0,0,0,0,0,1,0,0,Matches
118,119,Yan Couto,br BRA,DFFW,Girona,21.0,2002.0,24.9,45,34,25,14,6,20,40,50.0,20,14,2,12,10,55,31,1,Matches
119,120,Crespo,pt POR,MF,Rayo Vallecano,26.0,1996.0,5.9,16,9,8,6,2,9,17,52.9,8,15,6,9,10,26,7,0,Matches
120,121,Cristian,es ESP,GK,Valencia,25.0,1998.0,0.6,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
121,122,Juan Cruz Armada,es ESP,DF,Osasuna,31.0,1992.0,18.5,27,15,16,10,1,17,25,68.0,8,14,7,7,12,39,39,1,Matches
122,123,Juan Cruz,es ESP,FW,Betis,23.0,2000.0,0.8,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Matches
123,124,Pau Cubarsí,es ESP,DF,Barcelona,16.0,2007.0,17.3,22,14,18,3,1,13,18,72.2,5,20,16,4,12,34,65,0,Matches
124,125,Iván Cuéllar,es ESP,GK,Mallorca,39.0,1984.0,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
125,126,Jorge Cuenca,es ESP,DF,Villarreal,23.0,1999.0,21.8,42,29,26,10,6,19,30,63.3,11,26,15,11,21,63,114,0,Matches
126,127,Eric Curbelo,es ESP,DFMF,Las Palmas,29.0,1994.0,1.1,4,3,2,2,0,3,4,75.0,1,3,1,2,2,6,5,1,Matches
127,128,Alberto Dadie,es ESP,MF,Real Sociedad,21.0,2002.0,0.3,2,1,2,0,0,0,0,,0,1,0,1,0,2,0,0,Matches
128,129,Sergi Darder,es ESP,MF,Mallorca,29.0,1993.0,24.0,39,26,13,21,5,12,31,38.7,19,20,4,16,16,55,16,0,Matches
129,130,Rodrigo De Paul,ar ARG,MF,Atlético Madrid,29.0,1994.0,23.1,31,21,11,14,6,15,38,39.5,23,28,1,27,11,42,15,2,Matches
130,131,Mouctar Diakhaby,gn GUI,DFMF,Valencia,26.0,1996.0,11.9,18,11,9,9,0,11,13,84.6,2,17,7,10,11,29,62,0,Matches
131,132,Moussa Diakité,ml MLI,MF,Cádiz,19.0,2003.0,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
132,133,Assane Diao,es ESP,FW,Betis,17.0,2005.0,11.6,20,12,5,9,6,6,17,35.3,11,22,4,18,7,27,7,0,Matches
