,_Rk,_Player,_Nation,_Pos,_Squad,_Age,_Born,_90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Matches
64,65,Saïd Benrahma,dz ALG,FWMF,Lyon,27,1995,8.6,3,25,9,36.0,2.92,1.05,0.12,0.33,21.5,2,0,0,1.6,1.6,0.06,1.4,1.4,Matches
65,66,Nabil Bentaleb,dz ALG,MF,Lille,28,1994,21.9,0,10,2,20.0,0.46,0.09,0.0,0.0,29.3,1,0,0,0.4,0.4,0.04,-0.4,-0.4,Matches
66,67,Lucas Beraldo,br BRA,DF,Paris S-G,19,2003,11.2,1,5,2,40.0,0.45,0.18,0.2,0.5,10.8,0,0,0,1.0,1.0,0.2,0.0,0.0,Matches
67,68,Dimitry Bertaud,cd COD,GK,Montpellier,25,1998,4.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
68,69,Marco Bizot,nl NED,GK,Brest,32,1991,32.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
69,70,Rubén Blanco,es ESP,GK,Marseille,28,1995,1.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
70,71,Ludovic Blas,fr FRA,FWMF,Rennes,25,1997,17.4,4,42,15,35.7,2.42,0.86,0.07,0.2,20.0,0,1,2,4.7,3.1,0.07,-0.7,-0.1,Matches
71,72,Myron Boadu,nl NED,FW,Monaco,22,2001,0.9,1,2,2,100.0,2.12,2.12,0.5,0.5,10.7,0,0,0,0.4,0.4,0.22,0.6,0.6,Matches
72,73,Jeremie Boga,ci CIV,FW,Nice,26,1997,22.2,6,39,19,48.7,1.76,0.86,0.15,0.32,16.7,4,0,0,4.3,4.3,0.11,1.7,1.7,Matches
73,74,Adama Bojang,gm GAM,FW,Reims,19,2004,0.9,0,4,1,25.0,4.34,1.08,0.0,0.0,16.9,0,0,0,1.3,1.3,0.32,-1.3,-1.3,Matches
74,75,Ângelo Borges,br BRA,FWMF,Strasbourg,18,2004,12.2,0,9,4,44.4,0.74,0.33,0.0,0.0,22.2,0,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches
75,76,Neto Borges,br BRA,DF,Clermont Foot,26,1996,28.0,0,16,2,12.5,0.57,0.07,0.0,0.0,19.6,0,0,0,0.5,0.5,0.03,-0.5,-0.5,Matches
76,77,Saïmon Bouabré,fr FRA,MF,Monaco,17,2006,0.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
77,78,Ayyoub Bouaddi,fr FRA,MF,Lille,15,2007,1.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
78,79,Badredine Bouanani,dz ALG,FW,Nice,18,2004,1.8,0,4,1,25.0,2.24,0.56,0.0,0.0,16.4,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
79,80,Badredine Bouanani,dz ALG,MF,Lorient,18,2004,4.9,1,15,5,33.3,3.05,1.02,0.07,0.2,21.1,0,0,0,1.4,1.4,0.09,-0.4,-0.4,Matches
80,81,Mohamed Bouchenna,fr FRA,MFFW,Clermont Foot,17,2006,0.3,0,1,0,0.0,3.1,0.0,0.0,,26.3,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
81,82,Hicham Boudaoui,dz ALG,MF,Nice,23,1999,17.9,2,29,6,20.7,1.62,0.33,0.07,0.33,15.4,0,0,0,3.3,3.3,0.11,-1.3,-1.3,Matches
82,83,Benjamin Bourigeaud,fr FRA,MFFW,Rennes,29,1994,26.9,9,44,10,22.7,1.63,0.37,0.05,0.2,21.8,13,7,7,9.9,4.4,0.1,-0.9,-2.4,Matches
83,84,Bilal Boutobba,fr FRA,FWMF,Clermont Foot,24,1998,10.3,1,25,9,36.0,2.43,0.87,0.04,0.11,17.5,0,0,0,2.0,2.0,0.08,-1.0,-1.0,Matches
84,85,Hugo Boutsingkham,fr FRA,MFFW,Nantes,20,2003,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
85,86,Bilal Brahimi,dz ALG,FW,Nice,23,2000,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
86,87,Bilal Brahimi,dz ALG,FWMF,Brest,23,2000,2.5,0,4,2,50.0,1.63,0.81,0.0,0.0,24.4,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
87,88,Lilian Brassier,fr FRA,DF,Brest,23,1999,29.7,3,12,3,25.0,0.4,0.1,0.25,1.0,16.3,0,0,0,1.1,1.1,0.09,1.9,1.9,Matches
88,89,Maxime Busi,be BEL,FWDF,Reims,23,1999,1.8,0,1,0,0.0,0.56,0.0,0.0,,16.2,0,0,0,0.2,0.2,0.18,-0.2,-0.2,Matches
89,90,Marcin Bułka,pl POL,GK,Nice,23,1999,34.0,0,1,0,0.0,0.03,0.0,0.0,,7.5,0,0,0,0.1,0.1,0.13,-0.1,-0.1,Matches
90,91,Rémy Cabella,fr FRA,FWMF,Lille,33,1990,16.4,2,33,14,42.4,2.01,0.85,0.06,0.14,15.5,0,0,0,5.2,5.2,0.16,-3.2,-3.2,Matches
91,92,Duje Ćaleta-Car,hr CRO,DF,Lyon,26,1996,22.1,0,7,1,14.3,0.32,0.05,0.0,0.0,10.1,0,0,0,0.5,0.5,0.08,-0.5,-0.5,Matches
92,93,Lamine Camara,sn SEN,MF,Metz,19,2004,25.1,1,29,8,27.6,1.16,0.32,0.03,0.13,28.4,4,0,1,2.2,1.4,0.05,-1.2,-0.4,Matches
93,94,Mahdi Camara,fr FRA,MF,Brest,25,1998,22.4,7,41,13,31.7,1.83,0.58,0.15,0.46,16.6,0,1,1,4.9,4.1,0.1,2.1,1.9,Matches
94,95,Mohamed Camara,ml MLI,MF,Monaco,23,2000,11.5,1,13,3,23.1,1.13,0.26,0.0,0.0,26.0,0,1,1,1.5,0.7,0.05,-0.5,-0.7,Matches
95,96,Axel Camblan,fr FRA,FW,Brest,19,2003,1.0,0,2,0,0.0,2.0,0.0,0.0,,9.1,0,0,0,0.2,0.2,0.12,-0.2,-0.2,Matches
96,97,Fali Candé,gw GNB,DF,Metz,25,1998,20.5,0,13,7,53.8,0.63,0.34,0.0,0.0,21.4,2,0,0,0.8,0.8,0.06,-0.8,-0.8,Matches
97,98,Gino Caoki,fr FRA,MF,Lorient,19,2004,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
98,99,Maxence Caqueret,fr FRA,MF,Lyon,23,2000,33.6,1,24,9,37.5,0.71,0.27,0.04,0.11,20.9,0,0,0,2.1,2.1,0.09,-1.1,-1.1,Matches
99,100,Igor Carioca,br BRA,DFMF,Lorient,26,1996,2.9,0,1,0,0.0,0.34,0.0,0.0,,19.5,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
100,101,Antonin Cartillier,fr FRA,DF,Monaco,19,2004,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
101,102,Josué Casimir,fr FRA,FWDF,Le Havre,21,2001,22.4,0,22,4,18.2,0.98,0.18,0.0,0.0,18.3,0,0,0,1.9,1.9,0.09,-1.9,-1.9,Matches
102,103,Cristian Cásseres Jr.,ve VEN,MF,Toulouse,23,2000,21.6,1,15,3,20.0,0.69,0.14,0.07,0.33,18.1,0,0,0,1.1,1.1,0.08,-0.1,-0.1,Matches
103,104,Jean-Charles Castelletto,cm CMR,DF,Nantes,28,1995,27.4,2,10,6,60.0,0.37,0.22,0.2,0.33,12.1,0,0,0,0.6,0.6,0.06,1.4,1.4,Matches
104,105,Maximiliano Caufriez,be BEL,DF,Clermont Foot,26,1997,18.4,0,6,1,16.7,0.33,0.05,0.0,0.0,17.9,0,0,0,0.4,0.4,0.06,-0.4,-0.4,Matches
105,106,Ivan Cavaleiro,pt POR,FW,Lille,29,1993,8.6,1,11,3,27.3,1.29,0.35,0.09,0.33,13.4,0,0,0,1.3,1.3,0.12,-0.3,-0.3,Matches
106,107,Fabien Centonze,fr FRA,DF,Nantes,27,1996,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
107,108,Fares Chaïbi,dz ALG,FWMF,Toulouse,20,2002,0.6,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
108,109,Muhammed Cham,at AUT,MFFW,Clermont Foot,22,2000,28.4,8,69,26,37.7,2.43,0.92,0.06,0.15,22.0,10,4,5,9.4,5.5,0.08,-1.4,-1.5,Matches
109,110,Brendan Chardonnet,fr FRA,DF,Brest,28,1994,33.0,1,18,3,16.7,0.55,0.09,0.06,0.33,11.3,0,0,0,1.5,1.5,0.08,-0.5,-0.5,Matches
110,111,Jhoanner Chávez,ec ECU,DF,Lens,21,2002,5.3,0,3,0,0.0,0.56,0.0,0.0,,11.7,0,0,0,0.3,0.3,0.11,-0.3,-0.3,Matches
111,112,Rayan Cherki,fr FRA,MFFW,Lyon,19,2003,19.1,1,57,17,29.8,2.98,0.89,0.02,0.06,15.7,1,0,0,5.2,5.2,0.09,-4.2,-4.2,Matches
