,_Rk,_Player,_Nation,_Pos,_Squad,_Age,_Born,_90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,AerialDuels_Won,AerialDuels_Lost,AerialDuels_Won%,Matches
252,253,Brennan Johnson,wls WAL,FWMF,Nott'ham Forest,21,2001,32.6,6,0,0,37,21,18,58,5,20,1,0,0,89,18,48,27.3,Matches
253,254,Sam Johnstone,eng ENG,GK,Crystal Palace,29,1993,9.0,1,0,0,1,0,0,0,0,0,0,1,0,12,3,0,100.0,Matches
254,255,Curtis Jones,eng ENG,MF,Liverpool,21,2001,11.5,2,0,0,13,16,2,9,3,17,0,0,0,56,3,6,33.3,Matches
255,256,Jorginho,it ITA,MF,Arsenal,30,1991,9.5,0,0,0,6,18,0,2,9,13,0,0,0,69,10,8,55.6,Matches
256,257,Jorginho,it ITA,MF,Chelsea,30,1991,14.2,4,0,0,12,23,0,2,21,23,0,0,0,119,8,11,42.1,Matches
257,258,Mateo Joseph,es ESP,FWMF,Leeds United,18,2003,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
258,259,Diogo Jota,pt POR,FW,Liverpool,25,1996,12.6,2,0,0,19,15,3,8,3,15,1,0,0,60,18,26,40.9,Matches
259,260,Hamed Junior Traorè,ci CIV,FWMF,Bournemouth,22,2000,4.7,0,0,0,4,4,1,41,2,11,0,0,0,33,3,2,60.0,Matches
260,261,James Justin,eng ENG,DF,Leicester City,24,1998,13.9,0,0,0,8,29,2,21,15,18,1,0,0,64,23,32,41.8,Matches
261,262,Mathias Jørgensen,dk DEN,DF,Brentford,32,1990,12.3,2,0,0,9,4,2,3,16,8,0,0,1,53,17,15,53.1,Matches
262,263,Sasa Kalajdzic,at AUT,FW,Wolves,25,1997,0.5,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,,Matches
263,264,Boubacar Kamara,fr FRA,MF,Aston Villa,22,1999,19.7,4,0,0,34,31,0,1,19,25,0,0,0,126,22,17,56.4,Matches
264,265,Harry Kane,eng ENG,FW,Tottenham,29,1993,37.8,6,0,0,31,56,16,37,2,12,2,0,0,96,66,81,44.9,Matches
265,266,N'Golo Kanté,fr FRA,MF,Chelsea,31,1991,5.8,1,0,0,5,2,1,11,6,10,0,0,0,55,2,4,33.3,Matches
266,267,Michael Keane,eng ENG,DF,Everton,29,1993,10.9,0,0,0,7,4,0,4,14,4,0,2,0,62,67,33,67.0,Matches
267,268,Neeskens Kebano,cd COD,FW,Fulham,30,1992,8.5,0,0,0,8,16,2,24,1,9,0,0,0,47,2,12,14.3,Matches
268,269,Thilo Kehrer,de GER,DF,West Ham,25,1996,24.8,4,0,0,31,12,0,23,34,24,0,1,1,117,36,33,52.2,Matches
269,270,Naby Keïta,gn GUI,MF,Liverpool,27,1995,3.3,1,0,0,12,2,0,2,2,4,0,0,0,29,3,7,30.0,Matches
