,_Rk,_Player,_Nation,_Pos,_Squad,_Age,_Born,_90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,AerialDuels_Won,AerialDuels_Lost,AerialDuels_Won%,Matches
262,263,Christopher Lenz,de GER,DFMF,RB Leipzig,28.0,1994.0,0.5,0,0,0,2,0,0,5,2,1,0,0,0,3,2,1,66.7,Matches
263,264,Christopher Lenz,de GER,DF,Eint Frankfurt,28.0,1994.0,0.1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,,Matches
264,265,Jamie Leweling,de GER,FWMF,Stuttgart,22.0,2001.0,16.9,3,0,0,22,23,8,46,5,10,0,1,0,74,4,13,23.5,Matches
265,266,Philipp Lienhart,at AUT,DF,Freiburg,27.0,1996.0,14.1,3,0,0,12,6,1,4,14,13,0,1,0,77,33,14,70.2,Matches
266,267,Matthijs de Ligt,nl NED,DF,Bayern Munich,23.0,1999.0,15.4,5,0,0,12,8,0,2,19,12,0,0,0,73,41,28,59.4,Matches
267,268,Jesper Lindstrøm,dk DEN,FW,Eint Frankfurt,23.0,2000.0,0.9,0,0,0,1,0,0,1,0,1,0,0,0,2,0,1,0.0,Matches
268,269,Dejan Ljubicic,at AUT,MFFW,Köln,25.0,1997.0,22.8,6,0,0,32,13,1,31,18,27,0,0,0,112,8,11,42.1,Matches
269,270,Noah Loosli,ch SUI,DF,Bochum,26.0,1997.0,3.8,1,0,0,4,0,0,2,7,7,0,0,0,27,5,7,41.7,Matches
270,271,Anthony Losilla,fr FRA,MF,Bochum,37.0,1986.0,28.6,10,0,0,38,22,5,6,25,37,0,0,0,136,82,54,60.3,Matches
271,272,Castello Lukeba,fr FRA,DF,RB Leipzig,20.0,2002.0,24.3,3,0,0,8,23,1,5,12,12,0,0,0,158,32,27,54.2,Matches
272,273,Andreas Luthe,de GER,GK,Bochum,36.0,1987.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,Matches
273,274,Senne Lynen,be BEL,MF,Werder Bremen,24.0,1999.0,20.0,6,0,0,35,17,0,4,41,38,0,0,0,118,12,29,29.3,Matches
274,275,Ian Maatsen,nl NED,DF,Dortmund,21.0,2002.0,14.0,5,0,0,19,9,0,26,13,22,0,0,0,79,2,9,18.2,Matches
275,276,Matej Maglica,hr CRO,DF,Darmstadt 98,24.0,1998.0,18.9,7,2,0,31,7,1,7,22,21,0,1,0,85,51,24,68.0,Matches
276,277,Arne Maier,de GER,MF,Augsburg,24.0,1999.0,11.1,0,0,0,4,4,0,85,6,9,0,1,0,58,6,4,60.0,Matches
277,278,Linton Maina,de GER,FWMF,Köln,24.0,1999.0,21.1,4,0,0,10,17,5,74,6,15,0,0,0,92,0,14,0.0,Matches
278,279,Patrick Mainka,de GER,DF,Heidenheim,28.0,1994.0,34.0,1,0,0,24,16,2,0,49,49,0,1,0,183,119,84,58.6,Matches
279,280,Lovro Majer,hr CRO,MFFW,Wolfsburg,25.0,1998.0,23.4,5,0,0,37,37,1,89,12,18,1,0,0,143,11,18,37.9,Matches
280,281,Jordy Makengo,fr FRA,DF,Freiburg,21.0,2001.0,11.4,1,0,0,14,11,1,23,11,11,0,2,0,46,17,15,53.1,Matches
281,282,Julián Malatini,ar ARG,DF,Werder Bremen,22.0,2001.0,6.7,1,0,0,10,1,0,6,13,13,0,1,0,31,9,10,47.4,Matches
282,283,Donyell Malen,nl NED,FWMF,Dortmund,24.0,1999.0,19.8,5,0,0,11,24,3,39,2,7,1,0,0,71,7,19,26.9,Matches
